collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2021010327910,2021,010327910,1,1,1,1,41,7,3,0,0,0,0,0,1,9,E01004191,-1,0,0,1,-1
2021010323987,2021,010323987,2,1,1,1,61,9,2,0,0,0,0,0,5,8,E01004144,-1,0,1,0,-1
2021201116433,2021,201116433,1,1,1,1,43,7,3,0,0,0,0,0,9,10,E01031124,3,1,0,1,-1
2021401020661,2021,401020661,1,1,1,2,66,10,3,0,0,0,0,0,9,3,E01015783,3,1,0,1,-1
2021991097746,2021,991097746,1,2,2,2,83,11,3,0,0,1,0,0,9,9,-1,3,1,0,1,-1
2021201142033,2021,201142033,2,1,1,2,34,6,3,0,0,0,0,0,9,2,E01010240,3,1,0,1,-1
2021221095564,2021,221095564,1,3,2,1,10,2,3,0,0,1,0,0,9,1,E01009215,3,1,0,1,-1
202134WNC6451,2021,34WNC6451,2,1,1,1,24,5,3,0,0,0,0,0,9,1,E01032978,-1,0,0.00373,0.99627,-1
202160Z119294,2021,60Z119294,2,1,2,2,19,4,3,0,0,1,0,0,9,-1,-1,-1,0,0.03453,0.96547,-1
2021440154740,2021,440154740,1,1,1,2,43,7,3,0,0,0,0,0,9,3,E01022811,-1,0,0.04946,0.95054,-1
2021461143718,2021,461143718,1,1,1,1,45,7,3,0,0,0,0,0,9,2,E01016061,3,1,0,1,-1
2021501103664,2021,501103664,2,3,2,1,52,8,3,0,0,1,0,0,9,10,E01028365,3,1,0,1,-1
2021501115204,2021,501115204,2,2,1,1,55,8,3,0,0,0,0,0,19,5,E01018912,3,1,0,1,-1
2021010305384,2021,010305384,1,1,1,1,20,4,3,0,0,0,0,0,3,4,E01004150,-1,0,0,1,-1
2021010335603,2021,010335603,1,1,1,1,51,8,3,0,0,0,0,0,3,3,E01004034,-1,0,0,1,-1
2021401071957,2021,401071957,2,1,1,1,18,4,3,0,0,0,0,0,19,7,E01017587,3,1,0,1,-1
2021010338340,2021,010338340,1,4,2,-1,-1,-1,3,0,0,2,0,0,9,-1,-1,-1,0,0,1,-1
2021302100775,2021,302100775,1,1,1,1,72,10,3,0,0,0,0,0,9,2,E01013899,-1,0,0.07089,0.92911,-1
2021010314410,2021,010314410,1,1,1,1,29,6,3,0,0,0,0,0,1,3,E01003587,-1,0,0,1,-1
2021131112332,2021,131112332,1,1,1,2,30,6,2,0,0,0,0,0,9,3,E01010776,7,1,1,0,-1
2021461074840,2021,461074840,1,1,1,1,26,6,2,0,0,0,0,0,9,9,E01024256,7,1,1,0,-1
2021622100288,2021,622100288,1,3,2,2,23,5,3,0,0,1,0,0,9,2,W01000856,-1,0,0.05929,0.94071,-1
2021041059787,2021,041059787,1,1,2,2,18,4,3,0,0,1,0,0,9,8,E01025549,3,1,0,1,-1
2021451018098,2021,451018098,1,3,2,1,21,5,2,0,0,2,0,0,9,-1,-1,7,1,1,0,-1
2021201154085,2021,201154085,1,1,1,1,16,4,1,0,0,0,0,0,2,1,E01009130,1,1,0,0,-1
2021161031385,2021,161031385,2,1,1,1,16,4,3,0,0,0,0,0,2,8,E01013035,3,1,0,1,-1
2021141046627,2021,141046627,2,2,2,2,-1,-1,2,0,0,1,0,0,9,-1,-1,6,1,1,0,-1
2021221117601,2021,221117601,2,1,1,2,25,5,3,0,0,0,0,0,9,7,E01023679,3,1,0,1,-1
202131P004921,2021,31P004921,1,2,2,2,59,9,3,0,0,1,0,0,9,2,E01002566,-1,0,0.14307,0.85693,-1
2021361044292,2021,361044292,1,1,1,1,19,4,3,0,0,0,0,0,9,5,E01026433,3,1,0,1,-1
2021451077359,2021,451077359,2,1,1,1,45,7,2,0,0,0,0,0,1,10,E01030764,7,1,1,0,-1
2021061099177,2021,061099177,2,1,1,1,51,8,3,0,0,0,0,0,9,1,E01004823,3,1,0,1,-1
2021371066775,2021,371066775,1,3,2,1,25,5,3,0,0,-1,0,0,9,1,E01010627,3,1,0,1,-1
2021501027394,2021,501027394,2,2,2,2,19,4,3,0,0,1,0,0,9,6,E01015039,3,1,0,1,-1
2021010313699,2021,010313699,1,1,3,2,51,8,2,5,9,0,0,0,0,2,E01003502,-1,0,1,0,-1
2021010327362,2021,010327362,1,1,1,2,26,6,3,0,0,0,0,0,1,2,E01003137,-1,0,0,1,-1
2021010320011,2021,010320011,2,1,1,2,19,4,3,0,0,0,0,0,9,5,E01000738,-1,0,0,1,-1
2021461032998,2021,461032998,2,1,1,2,26,6,3,0,0,0,0,0,9,4,E01016129,3,1,0,1,-1
2021471019609,2021,471019609,1,1,3,1,64,9,3,1,1,0,0,0,0,6,E01016889,3,1,0,1,-1
2021041197003,2021,041197003,1,1,1,1,-1,-1,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
